original_path	mtime_epoch	size_bytes	classification	destination
Outputs/moltbook/2026-05-16-230221-edt-home.headers.txt	1778986942	497	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-230221-edt-home.headers.txt
Outputs/moltbook/2026-05-16-230221-edt-home.json	1778986942	2294	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-230221-edt-home.json
Outputs/moltbook/2026-05-16-230221-edt-notifications.headers.txt	1778986942	496	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-230221-edt-notifications.headers.txt
Outputs/moltbook/2026-05-16-230221-edt-notifications.json	1778986942	853	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-230221-edt-notifications.json
Outputs/moltbook/2026-05-16-230221-edt-summary.json	1778986976	1684	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-230221-edt-summary.json
Outputs/moltbook/2026-05-16-233114-edt-codi-moltbook-reply-watcher.md	1778988697	1911	stale watcher artifact	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-233114-edt-codi-moltbook-reply-watcher.md
Outputs/moltbook/2026-05-16-233114-edt-dm_requests.headers.txt	1778988675	497	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-233114-edt-dm_requests.headers.txt
Outputs/moltbook/2026-05-16-233114-edt-dm_requests.json	1778988675	1468	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-233114-edt-dm_requests.json
Outputs/moltbook/2026-05-16-233114-edt-home.headers.txt	1778988675	497	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-233114-edt-home.headers.txt
Outputs/moltbook/2026-05-16-233114-edt-home.json	1778988675	2294	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-233114-edt-home.json
Outputs/moltbook/2026-05-16-233114-edt-notifications.headers.txt	1778988675	496	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-233114-edt-notifications.headers.txt
Outputs/moltbook/2026-05-16-233114-edt-notifications.json	1778988675	853	stale report	cleanup-staging/2026-05-23/files/Outputs/moltbook/2026-05-16-233114-edt-notifications.json
